#date: 08.10.2020	time: 16:39:38
#t (s)	f (Hz)	A1 (V)	A2 (V)	phase (deg)	|Z| (Ohm)	Arg Z (Ohm)	Re Z (Ohm)	Im Z (deg)
68.76	2.6000E+6	3.4309	0.8118	+0.9	6.043E+1	-1.2	6.04E+1	-1.24E+0
68.96	2.6100E+6	3.4380	0.8122	+0.9	6.031E+1	-1.2	6.03E+1	-1.24E+0
69.14	2.6200E+6	3.4394	0.8120	+1.9	6.026E+1	-2.5	6.02E+1	-2.61E+0
69.31	2.6300E+6	3.4408	0.8113	-0.9	6.017E+1	+1.2	6.02E+1	1.24E+0
69.47	2.6400E+6	3.4436	0.8137	+0.0	6.034E+1	-0.0	6.03E+1	-0.00E+0
69.66	2.6500E+6	3.4351	0.8118	+0.0	6.034E+1	-0.0	6.03E+1	-0.00E+0
69.84	2.6600E+6	3.4252	0.8105	+0.5	6.044E+1	-0.7	6.04E+1	-6.91E-1
70.00	2.6700E+6	3.4351	0.8095	+1.0	6.012E+1	-1.3	6.01E+1	-1.37E+0
70.19	2.6800E+6	3.4266	0.8089	+3.4	6.022E+1	-4.4	6.00E+1	-4.67E+0
70.35	2.6900E+6	3.4266	0.8113	+2.9	6.046E+1	-3.8	6.03E+1	-4.01E+0
70.52	2.7000E+6	3.4351	0.8109	+0.5	6.026E+1	-0.7	6.03E+1	-6.88E-1
70.69	2.7100E+6	3.4252	0.8095	+2.4	6.033E+1	-3.1	6.02E+1	-3.31E+0
70.85	2.7200E+6	3.4238	0.8072	+3.9	6.010E+1	-5.1	5.99E+1	-5.34E+0
71.03	2.7300E+6	3.4182	0.8075	+2.5	6.029E+1	-3.3	6.02E+1	-3.44E+0
71.20	2.7400E+6	3.4167	0.8061	+1.0	6.021E+1	-1.3	6.02E+1	-1.38E+0
71.37	2.7500E+6	3.4153	0.8050	+1.5	6.012E+1	-2.0	6.01E+1	-2.06E+0
71.53	2.7600E+6	3.4210	0.8062	+2.0	6.011E+1	-2.6	6.00E+1	-2.74E+0
71.69	2.7700E+6	3.4097	0.8051	+1.5	6.027E+1	-2.0	6.02E+1	-2.07E+0
71.85	2.7800E+6	3.4083	0.8036	+3.0	6.012E+1	-3.9	6.00E+1	-4.12E+0
72.05	2.7900E+6	3.3984	0.8037	+2.0	6.039E+1	-2.6	6.03E+1	-2.76E+0
72.21	2.8000E+6	3.3899	0.8006	+2.0	6.028E+1	-2.6	6.02E+1	-2.75E+0
72.38	2.8100E+6	3.3885	0.8014	+5.0	6.032E+1	-6.5	5.99E+1	-6.87E+0
72.55	2.8200E+6	3.3885	0.8007	+1.0	6.034E+1	-1.3	6.03E+1	-1.38E+0
72.72	2.8300E+6	3.3870	0.8013	+2.0	6.041E+1	-2.6	6.04E+1	-2.76E+0
72.88	2.8400E+6	3.3927	0.7995	+3.0	6.008E+1	-3.9	5.99E+1	-4.11E+0
73.04	2.8500E+6	3.3800	0.7979	+3.0	6.022E+1	-3.9	6.01E+1	-4.12E+0
73.23	2.8600E+6	3.3842	0.7985	+3.0	6.018E+1	-3.9	6.00E+1	-4.12E+0
73.41	2.8700E+6	3.3771	0.7969	+3.0	6.019E+1	-3.9	6.01E+1	-4.12E+0
73.60	2.8800E+6	3.3602	0.7946	+3.0	6.037E+1	-3.9	6.02E+1	-4.14E+0
73.76	2.8900E+6	3.3644	0.7955	+4.0	6.032E+1	-5.2	6.01E+1	-5.51E+0
73.93	2.9000E+6	3.3559	0.7927	+4.0	6.024E+1	-5.2	6.00E+1	-5.50E+0
74.11	2.9100E+6	3.3588	0.7931	+2.0	6.026E+1	-2.6	6.02E+1	-2.75E+0
74.28	2.9200E+6	3.3687	0.7928	+3.0	5.999E+1	-3.9	5.98E+1	-4.10E+0
74.43	2.9300E+6	3.3602	0.7941	+3.0	6.031E+1	-3.9	6.02E+1	-4.13E+0
74.61	2.9400E+6	3.3559	0.7905	+2.0	6.008E+1	-2.6	6.00E+1	-2.74E+0
74.79	2.9500E+6	3.3644	0.7941	+3.0	6.021E+1	-3.9	6.01E+1	-4.12E+0
74.96	2.9600E+6	3.3474	0.7896	+3.0	6.016E+1	-3.9	6.00E+1	-4.12E+0
75.16	2.9700E+6	3.3418	0.7867	+5.0	5.995E+1	-6.5	5.96E+1	-6.82E+0
75.34	2.9800E+6	3.3503	0.7913	+3.0	6.026E+1	-3.9	6.01E+1	-4.13E+0
75.51	2.9900E+6	3.3517	0.7903	+4.0	6.010E+1	-5.2	5.99E+1	-5.48E+0
75.69	3.0000E+6	3.3573	0.7918	+3.0	6.015E+1	-3.9	6.00E+1	-4.12E+0
75.89	3.0100E+6	3.3545	0.7891	+3.0	5.995E+1	-3.9	5.98E+1	-4.10E+0
76.06	3.0200E+6	3.3460	0.7884	+4.0	6.005E+1	-5.2	5.98E+1	-5.48E+0
76.24	3.0300E+6	3.3474	0.7855	+4.0	5.972E+1	-5.2	5.95E+1	-5.44E+0
76.42	3.0400E+6	3.3489	0.7876	+1.0	5.996E+1	-1.3	5.99E+1	-1.37E+0
76.58	3.0500E+6	3.3347	0.7843	+3.0	5.994E+1	-3.9	5.98E+1	-4.10E+0
76.75	3.0600E+6	3.3404	0.7859	+3.0	5.996E+1	-3.9	5.98E+1	-4.10E+0
76.94	3.0700E+6	3.3418	0.7847	+3.0	5.981E+1	-3.9	5.97E+1	-4.09E+0
77.10	3.0800E+6	3.3404	0.7864	+4.0	5.999E+1	-5.2	5.97E+1	-5.47E+0
77.29	3.0900E+6	3.3432	0.7850	+4.0	5.978E+1	-5.2	5.95E+1	-5.44E+0
77.44	3.1000E+6	3.3248	0.7822	+3.0	5.996E+1	-3.9	5.98E+1	-4.10E+0
77.62	3.1100E+6	3.3149	0.7792	+3.0	5.989E+1	-3.9	5.98E+1	-4.10E+0
77.83	3.1200E+6	3.3177	0.7791	+4.0	5.979E+1	-5.2	5.95E+1	-5.44E+0
77.97	3.1300E+6	3.3305	0.7805	+3.0	5.965E+1	-3.9	5.95E+1	-4.08E+0
78.18	3.1400E+6	3.3064	0.7761	+3.0	5.978E+1	-3.9	5.96E+1	-4.09E+0
78.37	3.1500E+6	3.3135	0.7764	+3.0	5.964E+1	-3.9	5.95E+1	-4.07E+0
78.53	3.1600E+6	3.3135	0.7784	+3.0	5.984E+1	-3.9	5.97E+1	-4.09E+0
78.70	3.1700E+6	3.3022	0.7743	+3.0	5.969E+1	-3.9	5.96E+1	-4.08E+0
78.87	3.1800E+6	3.3107	0.7756	+3.0	5.962E+1	-3.9	5.95E+1	-4.07E+0
79.03	3.1900E+6	3.3078	0.7753	+2.0	5.968E+1	-2.6	5.96E+1	-2.72E+0
79.19	3.2000E+6	3.2895	0.7715	+3.0	5.971E+1	-3.9	5.96E+1	-4.08E+0
79.38	3.2100E+6	3.2909	0.7709	+5.0	5.956E+1	-6.5	5.92E+1	-6.77E+0
79.55	3.2200E+6	3.2923	0.7700	+4.0	5.948E+1	-5.2	5.92E+1	-5.41E+0
79.72	3.2300E+6	3.2965	0.7705	+3.0	5.944E+1	-3.9	5.93E+1	-4.06E+0
79.90	3.2400E+6	3.2838	0.7692	+2.0	5.963E+1	-2.6	5.96E+1	-2.72E+0
80.06	3.2500E+6	3.2866	0.7665	+6.0	5.918E+1	-7.8	5.86E+1	-8.05E+0
80.25	3.2600E+6	3.2739	0.7661	+2.0	5.955E+1	-2.6	5.95E+1	-2.71E+0
80.41	3.2700E+6	3.2880	0.7661	+2.0	5.922E+1	-2.6	5.92E+1	-2.69E+0
80.57	3.2800E+6	3.2852	0.7655	+2.0	5.923E+1	-2.6	5.92E+1	-2.69E+0
80.73	3.2900E+6	3.2852	0.7681	+2.0	5.949E+1	-2.6	5.94E+1	-2.71E+0
80.90	3.3000E+6	3.2810	0.7661	+4.0	5.934E+1	-5.2	5.91E+1	-5.40E+0
81.08	3.3100E+6	3.2781	0.7633	+2.0	5.917E+1	-2.6	5.91E+1	-2.69E+0
81.25	3.3200E+6	3.2781	0.7624	+5.0	5.901E+1	-6.5	5.86E+1	-6.69E+0
81.41	3.3300E+6	3.2753	0.7638	+4.0	5.925E+1	-5.2	5.90E+1	-5.38E+0
81.57	3.3400E+6	3.2810	0.7642	+5.0	5.913E+1	-6.5	5.87E+1	-6.71E+0
81.73	3.3500E+6	3.2796	0.7625	+4.0	5.902E+1	-5.2	5.88E+1	-5.36E+0
81.88	3.3600E+6	3.2697	0.7618	+4.0	5.918E+1	-5.2	5.89E+1	-5.38E+0
82.06	3.3700E+6	3.2753	0.7610	+5.0	5.893E+1	-6.5	5.86E+1	-6.68E+0
82.22	3.3800E+6	3.2640	0.7594	+4.0	5.907E+1	-5.2	5.88E+1	-5.36E+0
82.41	3.3900E+6	3.2626	0.7546	+4.0	5.862E+1	-5.2	5.84E+1	-5.31E+0
82.59	3.4000E+6	3.2555	0.7538	+1.0	5.875E+1	-1.3	5.87E+1	-1.33E+0
82.76	3.4100E+6	3.2513	0.7543	+4.0	5.885E+1	-5.2	5.86E+1	-5.34E+0
82.94	3.4200E+6	3.2442	0.7528	+4.0	5.886E+1	-5.2	5.86E+1	-5.34E+0
83.11	3.4300E+6	3.2555	0.7542	+5.0	5.871E+1	-6.5	5.83E+1	-6.65E+0
83.29	3.4400E+6	3.2414	0.7518	+4.0	5.883E+1	-5.2	5.86E+1	-5.34E+0
83.46	3.4500E+6	3.2428	0.7505	+4.0	5.867E+1	-5.2	5.84E+1	-5.32E+0
83.64	3.4600E+6	3.2414	0.7500	+4.0	5.864E+1	-5.2	5.84E+1	-5.32E+0
83.80	3.4700E+6	3.2555	0.7525	+3.0	5.859E+1	-3.9	5.85E+1	-3.99E+0
83.97	3.4800E+6	3.2357	0.7497	+3.0	5.877E+1	-3.9	5.86E+1	-4.00E+0
84.16	3.4900E+6	3.2357	0.7480	+4.0	5.857E+1	-5.2	5.83E+1	-5.31E+0
84.34	3.5000E+6	3.2315	0.7471	+4.0	5.859E+1	-5.2	5.83E+1	-5.31E+0
84.50	3.5100E+6	3.2188	0.7446	+4.0	5.863E+1	-5.2	5.84E+1	-5.32E+0
84.67	3.5200E+6	3.2244	0.7444	+4.0	5.848E+1	-5.2	5.82E+1	-5.30E+0
84.83	3.5300E+6	3.2258	0.7435	+4.0	5.835E+1	-5.2	5.81E+1	-5.28E+0
84.99	3.5400E+6	3.2131	0.7422	+5.0	5.848E+1	-6.5	5.81E+1	-6.62E+0
85.16	3.5500E+6	3.2216	0.7432	+4.0	5.842E+1	-5.2	5.82E+1	-5.29E+0
85.32	3.5600E+6	3.2145	0.7436	+4.0	5.863E+1	-5.2	5.84E+1	-5.32E+0
85.49	3.5700E+6	3.2089	0.7425	+5.0	5.861E+1	-6.5	5.82E+1	-6.64E+0
85.67	3.5800E+6	3.2216	0.7427	+3.0	5.840E+1	-3.9	5.83E+1	-3.97E+0
85.87	3.5900E+6	3.2145	0.7415	+5.0	5.838E+1	-6.5	5.80E+1	-6.60E+0
86.03	3.6000E+6	3.2145	0.7392	+3.0	5.820E+1	-3.9	5.81E+1	-3.95E+0
86.22	3.6100E+6	3.2060	0.7375	+4.0	5.820E+1	-5.2	5.80E+1	-5.27E+0
86.38	3.6200E+6	3.2117	0.7378	+5.0	5.807E+1	-6.5	5.77E+1	-6.56E+0
86.57	3.6300E+6	3.1947	0.7361	+5.0	5.830E+1	-6.5	5.79E+1	-6.59E+0
86.75	3.6400E+6	3.2032	0.7375	+5.0	5.824E+1	-6.5	5.79E+1	-6.58E+0
86.94	3.6500E+6	3.1947	0.7361	+3.0	5.835E+1	-3.9	5.82E+1	-3.97E+0
87.10	3.6600E+6	3.1975	0.7358	+3.0	5.826E+1	-3.9	5.81E+1	-3.96E+0
87.27	3.6700E+6	3.1919	0.7317	+5.0	5.791E+1	-6.5	5.75E+1	-6.54E+0
87.43	3.6800E+6	3.1834	0.7331	+2.0	5.833E+1	-2.6	5.83E+1	-2.64E+0
87.59	3.6900E+6	3.1834	0.7304	+5.0	5.798E+1	-6.5	5.76E+1	-6.55E+0
87.77	3.7000E+6	3.1862	0.7300	+5.0	5.787E+1	-6.5	5.75E+1	-6.53E+0
87.92	3.7100E+6	3.1834	0.7302	+5.0	5.795E+1	-6.5	5.76E+1	-6.54E+0
88.08	3.7200E+6	3.1876	0.7282	+7.0	5.757E+1	-9.1	5.69E+1	-9.07E+0
88.25	3.7300E+6	3.1792	0.7261	+5.0	5.763E+1	-6.5	5.73E+1	-6.50E+0
88.43	3.7400E+6	3.1735	0.7234	+5.0	5.749E+1	-6.5	5.71E+1	-6.48E+0
88.60	3.7500E+6	3.1763	0.7276	+5.0	5.786E+1	-6.5	5.75E+1	-6.53E+0
88.76	3.7600E+6	3.1693	0.7245	+5.0	5.770E+1	-6.5	5.73E+1	-6.51E+0
88.95	3.7700E+6	3.1608	0.7235	+4.0	5.783E+1	-5.2	5.76E+1	-5.23E+0
89.09	3.7800E+6	3.1551	0.7207	+5.0	5.764E+1	-6.5	5.73E+1	-6.50E+0
89.28	3.7900E+6	3.1636	0.7225	+5.0	5.763E+1	-6.5	5.73E+1	-6.50E+0
89.43	3.8000E+6	3.1495	0.7184	+5.0	5.754E+1	-6.5	5.72E+1	-6.49E+0
89.63	3.8100E+6	3.1537	0.7215	+6.0	5.773E+1	-7.8	5.72E+1	-7.81E+0
89.79	3.8200E+6	3.1495	0.7167	+3.0	5.742E+1	-3.9	5.73E+1	-3.89E+0
89.96	3.8300E+6	3.1480	0.7153	+6.0	5.722E+1	-7.8	5.67E+1	-7.72E+0
90.13	3.8400E+6	3.1480	0.7159	+6.0	5.728E+1	-7.8	5.68E+1	-7.73E+0
90.28	3.8500E+6	3.1339	0.7138	+6.0	5.739E+1	-7.8	5.69E+1	-7.75E+0
90.46	3.8600E+6	3.1297	0.7136	+7.0	5.743E+1	-9.1	5.67E+1	-9.04E+0
90.62	3.8700E+6	3.1509	0.7166	+6.0	5.728E+1	-7.8	5.68E+1	-7.73E+0
90.78	3.8800E+6	3.1396	0.7132	+5.0	5.723E+1	-6.5	5.69E+1	-6.45E+0
90.96	3.8900E+6	3.1396	0.7125	+4.0	5.719E+1	-5.2	5.70E+1	-5.16E+0
91.11	3.9000E+6	3.1311	0.7102	+6.0	5.709E+1	-7.8	5.66E+1	-7.70E+0
91.29	3.9100E+6	3.1240	0.7081	+7.0	5.699E+1	-9.0	5.63E+1	-8.96E+0
91.47	3.9200E+6	3.1311	0.7105	+4.0	5.718E+1	-5.2	5.70E+1	-5.16E+0
91.66	3.9300E+6	3.1311	0.7081	+6.0	5.687E+1	-7.7	5.64E+1	-7.67E+0
91.84	3.9400E+6	3.1240	0.7060	+6.0	5.682E+1	-7.7	5.63E+1	-7.66E+0
92.01	3.9500E+6	3.1226	0.7082	+5.0	5.712E+1	-6.5	5.68E+1	-6.43E+0
92.16	3.9600E+6	3.1198	0.7031	+5.0	5.666E+1	-6.5	5.63E+1	-6.37E+0
92.34	3.9700E+6	3.1141	0.7041	+6.0	5.686E+1	-7.7	5.63E+1	-7.66E+0
92.49	3.9800E+6	3.1183	0.7030	+6.0	5.664E+1	-7.7	5.61E+1	-7.63E+0
92.66	3.9900E+6	3.1113	0.6996	+6.0	5.645E+1	-7.7	5.59E+1	-7.60E+0
92.82	4.0000E+6	3.1113	0.7003	+6.0	5.653E+1	-7.7	5.60E+1	-7.61E+0
92.99	4.0100E+6	3.1042	0.7003	+4.0	5.676E+1	-5.2	5.65E+1	-5.11E+0
93.15	4.0200E+6	3.0957	0.6951	+5.0	5.638E+1	-6.4	5.60E+1	-6.33E+0
93.32	4.0300E+6	3.1056	0.6971	+4.0	5.638E+1	-5.2	5.62E+1	-5.07E+0
93.49	4.0400E+6	3.1028	0.6979	+6.0	5.647E+1	-7.7	5.60E+1	-7.60E+0
93.67	4.0500E+6	3.0915	0.6945	+4.0	5.645E+1	-5.2	5.62E+1	-5.07E+0
93.85	4.0600E+6	3.0901	0.6932	+6.0	5.629E+1	-7.7	5.58E+1	-7.57E+0
94.04	4.0700E+6	3.0787	0.6911	+6.0	5.633E+1	-7.7	5.58E+1	-7.58E+0
94.20	4.0800E+6	3.0872	0.6904	+6.0	5.606E+1	-7.7	5.55E+1	-7.53E+0
94.36	4.0900E+6	3.0858	0.6914	+6.0	5.619E+1	-7.7	5.57E+1	-7.55E+0
94.52	4.1000E+6	3.0886	0.6918	+5.0	5.621E+1	-6.4	5.59E+1	-6.30E+0
94.69	4.1100E+6	3.0703	0.6856	+4.0	5.601E+1	-5.1	5.58E+1	-5.03E+0
94.85	4.1200E+6	3.0773	0.6874	+4.0	5.604E+1	-5.1	5.58E+1	-5.03E+0
95.04	4.1300E+6	3.0929	0.6903	+5.0	5.595E+1	-6.4	5.56E+1	-6.27E+0
95.20	4.1400E+6	3.0618	0.6852	+5.0	5.614E+1	-6.4	5.58E+1	-6.29E+0
95.38	4.1500E+6	3.0745	0.6850	+4.0	5.586E+1	-5.1	5.56E+1	-5.01E+0
95.56	4.1600E+6	3.0745	0.6842	+7.0	5.566E+1	-9.0	5.50E+1	-8.70E+0
95.72	4.1700E+6	3.0632	0.6838	+5.0	5.596E+1	-6.4	5.56E+1	-6.27E+0
95.88	4.1800E+6	3.0547	0.6825	+5.0	5.602E+1	-6.4	5.57E+1	-6.28E+0
96.07	4.1900E+6	3.0618	0.6815	+11.0	5.546E+1	-14.1	5.38E+1	-1.35E+1
96.21	4.2000E+6	3.0476	0.6791	+5.0	5.583E+1	-6.4	5.55E+1	-6.25E+0
96.38	4.2100E+6	3.0505	0.6798	+5.0	5.584E+1	-6.4	5.55E+1	-6.25E+0
96.55	4.2200E+6	3.0505	0.6773	+6.0	5.554E+1	-7.7	5.50E+1	-7.45E+0
96.71	4.2300E+6	3.0420	0.6760	+6.0	5.560E+1	-7.7	5.51E+1	-7.46E+0
96.87	4.2400E+6	3.0363	0.6763	+5.0	5.580E+1	-6.4	5.54E+1	-6.25E+0
97.05	4.2500E+6	3.0533	0.6766	+4.0	5.546E+1	-5.1	5.52E+1	-4.97E+0
97.21	4.2600E+6	3.0321	0.6733	+5.0	5.558E+1	-6.4	5.52E+1	-6.22E+0
97.39	4.2700E+6	3.0434	0.6734	+5.0	5.533E+1	-6.4	5.50E+1	-6.18E+0
97.58	4.2800E+6	3.0377	0.6720	+5.0	5.532E+1	-6.4	5.50E+1	-6.18E+0
97.74	4.2900E+6	3.0321	0.6723	+4.0	5.551E+1	-5.1	5.53E+1	-4.97E+0
97.90	4.3000E+6	3.0292	0.6699	+5.0	5.529E+1	-6.4	5.49E+1	-6.18E+0
98.08	4.3100E+6	3.0222	0.6689	+5.0	5.535E+1	-6.4	5.50E+1	-6.19E+0
98.24	4.3200E+6	3.0222	0.6669	+5.0	5.514E+1	-6.4	5.48E+1	-6.16E+0
98.39	4.3300E+6	3.0335	0.6693	+5.0	5.513E+1	-6.4	5.48E+1	-6.16E+0
98.58	4.3400E+6	3.0264	0.6691	+5.0	5.527E+1	-6.4	5.49E+1	-6.18E+0
98.73	4.3500E+6	3.0151	0.6654	+8.0	5.503E+1	-10.3	5.41E+1	-9.79E+0
98.89	4.3600E+6	3.0137	0.6638	+5.0	5.501E+1	-6.4	5.47E+1	-6.14E+0
99.06	4.3700E+6	3.0193	0.6637	+5.0	5.486E+1	-6.4	5.45E+1	-6.12E+0
99.21	4.3800E+6	3.0208	0.6652	+6.0	5.496E+1	-7.7	5.45E+1	-7.35E+0
99.36	4.3900E+6	3.0208	0.6654	+6.0	5.498E+1	-7.7	5.45E+1	-7.36E+0
99.52	4.4000E+6	3.0165	0.6645	+7.0	5.495E+1	-9.0	5.43E+1	-8.57E+0
99.67	4.4100E+6	3.0066	0.6611	+5.0	5.489E+1	-6.4	5.45E+1	-6.12E+0
99.86	4.4200E+6	3.0165	0.6621	+6.0	5.473E+1	-7.7	5.42E+1	-7.32E+0
100.04	4.4300E+6	3.0024	0.6607	+5.0	5.495E+1	-6.4	5.46E+1	-6.13E+0
100.21	4.4400E+6	2.9981	0.6572	+8.0	5.455E+1	-10.2	5.37E+1	-9.69E+0
100.37	4.4500E+6	3.0024	0.6582	+8.0	5.456E+1	-10.2	5.37E+1	-9.69E+0
100.54	4.4600E+6	2.9967	0.6566	+6.0	5.461E+1	-7.7	5.41E+1	-7.30E+0
100.72	4.4700E+6	2.9995	0.6566	+5.0	5.458E+1	-6.4	5.42E+1	-6.08E+0
100.88	4.4800E+6	2.9896	0.6555	+7.0	5.461E+1	-9.0	5.39E+1	-8.50E+0
101.04	4.4900E+6	2.9896	0.6539	+7.0	5.445E+1	-9.0	5.38E+1	-8.47E+0
101.22	4.5000E+6	2.9939	0.6528	+6.0	5.427E+1	-7.7	5.38E+1	-7.24E+0
101.37	4.5100E+6	2.9840	0.6507	+8.0	5.419E+1	-10.2	5.33E+1	-9.61E+0
101.55	4.5200E+6	2.9783	0.6508	+6.0	5.442E+1	-7.7	5.39E+1	-7.26E+0
101.72	4.5300E+6	2.9826	0.6505	+6.0	5.429E+1	-7.7	5.38E+1	-7.24E+0
101.88	4.5400E+6	2.9727	0.6486	+5.0	5.434E+1	-6.4	5.40E+1	-6.05E+0
102.05	4.5500E+6	2.9783	0.6486	+6.0	5.418E+1	-7.7	5.37E+1	-7.23E+0
102.21	4.5600E+6	2.9698	0.6463	+7.0	5.410E+1	-8.9	5.34E+1	-8.40E+0
102.38	4.5700E+6	2.9797	0.6481	+6.0	5.410E+1	-7.7	5.36E+1	-7.21E+0
102.55	4.5800E+6	2.9741	0.6453	+5.0	5.396E+1	-6.4	5.36E+1	-6.00E+0
102.72	4.5900E+6	2.9571	0.6422	+6.0	5.399E+1	-7.7	5.35E+1	-7.20E+0
102.90	4.6000E+6	2.9571	0.6413	+5.0	5.393E+1	-6.4	5.36E+1	-5.99E+0
103.05	4.6100E+6	2.9529	0.6405	+6.0	5.391E+1	-7.7	5.34E+1	-7.18E+0
103.23	4.6200E+6	2.9769	0.6460	+7.0	5.390E+1	-8.9	5.32E+1	-8.37E+0
103.42	4.6300E+6	2.9585	0.6419	+6.0	5.393E+1	-7.7	5.34E+1	-7.19E+0
103.60	4.6400E+6	2.9599	0.6406	+7.0	5.372E+1	-8.9	5.31E+1	-8.33E+0
103.76	4.6500E+6	2.9486	0.6399	+6.0	5.395E+1	-7.7	5.35E+1	-7.19E+0
103.93	4.6600E+6	2.9515	0.6388	+8.0	5.368E+1	-10.2	5.28E+1	-9.50E+0
104.10	4.6700E+6	2.9515	0.6372	+8.0	5.351E+1	-10.2	5.27E+1	-9.47E+0
104.27	4.6800E+6	2.9529	0.6370	+5.0	5.356E+1	-6.4	5.32E+1	-5.94E+0
104.41	4.6900E+6	2.9458	0.6361	+5.0	5.363E+1	-6.4	5.33E+1	-5.95E+0
104.56	4.7000E+6	2.9500	0.6358	+5.0	5.350E+1	-6.4	5.32E+1	-5.94E+0
104.73	4.7100E+6	2.9500	0.6361	+5.0	5.354E+1	-6.4	5.32E+1	-5.94E+0
104.88	4.7200E+6	2.9288	0.6324	+5.0	5.363E+1	-6.4	5.33E+1	-5.95E+0
105.05	4.7300E+6	2.9288	0.6302	+7.0	5.332E+1	-8.9	5.27E+1	-8.26E+0
105.21	4.7400E+6	2.9331	0.6341	+8.0	5.360E+1	-10.2	5.28E+1	-9.49E+0
105.39	4.7500E+6	2.9232	0.6293	+5.0	5.343E+1	-6.4	5.31E+1	-5.93E+0
105.58	4.7600E+6	2.9232	0.6309	+8.0	5.349E+1	-10.2	5.26E+1	-9.46E+0
105.74	4.7700E+6	2.9260	0.6282	+6.0	5.321E+1	-7.6	5.27E+1	-7.07E+0
105.91	4.7800E+6	2.9076	0.6255	+6.0	5.335E+1	-7.6	5.29E+1	-7.09E+0
106.09	4.7900E+6	2.9189	0.6288	+7.0	5.340E+1	-8.9	5.28E+1	-8.27E+0
106.26	4.8000E+6	2.9105	0.6249	+6.0	5.322E+1	-7.6	5.27E+1	-7.07E+0
106.42	4.8100E+6	2.9076	0.6235	+4.0	5.319E+1	-5.1	5.30E+1	-4.72E+0
106.61	4.8200E+6	2.9020	0.6231	+7.0	5.318E+1	-8.9	5.25E+1	-8.23E+0
106.76	4.8300E+6	2.8949	0.6214	+6.0	5.320E+1	-7.6	5.27E+1	-7.07E+0
106.93	4.8400E+6	2.9006	0.6220	+7.0	5.309E+1	-8.9	5.25E+1	-8.21E+0
107.09	4.8500E+6	2.8991	0.6221	+4.0	5.323E+1	-5.1	5.30E+1	-4.72E+0
107.28	4.8600E+6	2.9048	0.6207	+7.0	5.285E+1	-8.9	5.22E+1	-8.17E+0
107.46	4.8700E+6	2.9048	0.6194	+7.0	5.272E+1	-8.9	5.21E+1	-8.15E+0
107.61	4.8800E+6	2.8864	0.6176	+5.0	5.301E+1	-6.4	5.27E+1	-5.87E+0
107.79	4.8900E+6	2.8850	0.6186	+5.0	5.315E+1	-6.4	5.28E+1	-5.89E+0
107.97	4.9000E+6	2.8907	0.6157	+4.0	5.274E+1	-5.1	5.25E+1	-4.67E+0
108.14	4.9100E+6	2.8878	0.6167	+7.0	5.282E+1	-8.9	5.22E+1	-8.16E+0
108.30	4.9200E+6	2.8892	0.6159	+6.0	5.273E+1	-7.6	5.23E+1	-6.99E+0
108.44	4.9300E+6	2.8765	0.6135	+5.0	5.279E+1	-6.4	5.25E+1	-5.84E+0
108.62	4.9400E+6	2.8723	0.6132	+4.0	5.289E+1	-5.1	5.27E+1	-4.69E+0
108.78	4.9500E+6	2.8779	0.6125	+5.0	5.265E+1	-6.3	5.23E+1	-5.82E+0
108.92	4.9600E+6	2.8680	0.6119	+5.0	5.282E+1	-6.4	5.25E+1	-5.84E+0
109.10	4.9700E+6	2.8581	0.6078	+7.0	5.254E+1	-8.9	5.19E+1	-8.11E+0
109.29	4.9800E+6	2.8638	0.6090	+6.0	5.257E+1	-7.6	5.21E+1	-6.97E+0
109.44	4.9900E+6	2.8567	0.6068	+4.0	5.255E+1	-5.1	5.23E+1	-4.65E+0
109.59	5.0000E+6	2.8525	0.6083	+5.0	5.278E+1	-6.4	5.25E+1	-5.84E+0
109.74	5.0100E+6	2.8468	0.6029	+5.0	5.232E+1	-6.3	5.20E+1	-5.78E+0
109.90	5.0200E+6	2.8638	0.6078	+7.0	5.241E+1	-8.9	5.18E+1	-8.09E+0
110.08	5.0300E+6	2.8539	0.6032	+7.0	5.213E+1	-8.9	5.15E+1	-8.03E+0
110.25	5.0400E+6	2.8412	0.6015	+5.0	5.230E+1	-6.3	5.20E+1	-5.77E+0
110.42	5.0500E+6	2.8397	0.6027	+7.0	5.241E+1	-8.9	5.18E+1	-8.09E+0
110.57	5.0600E+6	2.8341	0.5995	+6.0	5.222E+1	-7.6	5.18E+1	-6.91E+0
110.75	5.0700E+6	2.8397	0.6019	+5.0	5.238E+1	-6.3	5.21E+1	-5.79E+0
110.92	5.0800E+6	2.8567	0.6013	+5.0	5.192E+1	-6.3	5.16E+1	-5.72E+0
111.08	5.0900E+6	2.8397	0.6006	+5.0	5.224E+1	-6.3	5.19E+1	-5.77E+0
111.27	5.1000E+6	2.8341	0.5996	+7.0	5.220E+1	-8.9	5.16E+1	-8.05E+0
111.43	5.1100E+6	2.8412	0.5972	+6.0	5.180E+1	-7.6	5.13E+1	-6.84E+0
111.60	5.1200E+6	2.8313	0.5967	+6.0	5.197E+1	-7.6	5.15E+1	-6.87E+0
111.76	5.1300E+6	2.8199	0.5961	+5.0	5.220E+1	-6.3	5.19E+1	-5.76E+0
111.91	5.1400E+6	2.8256	0.5964	+6.0	5.207E+1	-7.6	5.16E+1	-6.89E+0
112.08	5.1500E+6	2.8228	0.5943	+6.0	5.190E+1	-7.6	5.14E+1	-6.86E+0
112.29	5.1600E+6	2.8341	0.5941	+7.0	5.159E+1	-8.8	5.10E+1	-7.94E+0
